15:00 25 09 2020  7.627
15:15 25 09 2020  7.597
15:30 25 09 2020  7.549
15:45 25 09 2020  7.483
16:00 25 09 2020  7.398
16:15 25 09 2020  7.296
16:30 25 09 2020  7.177
16:45 25 09 2020  7.041
17:00 25 09 2020  6.889
17:15 25 09 2020  6.722
17:30 25 09 2020  6.539
17:45 25 09 2020  6.343
18:00 25 09 2020  6.133
18:15 25 09 2020  5.910
18:30 25 09 2020  5.676
18:45 25 09 2020  5.431
19:00 25 09 2020  5.176
19:15 25 09 2020  4.913
19:30 25 09 2020  4.642
19:45 25 09 2020  4.364
20:00 25 09 2020  4.081
20:15 25 09 2020  3.793
20:30 25 09 2020  3.503
20:45 25 09 2020  3.210
21:00 25 09 2020  2.916
21:15 25 09 2020  2.623
21:30 25 09 2020  2.331
21:45 25 09 2020  2.042
22:00 25 09 2020  1.757
22:15 25 09 2020  1.477
22:30 25 09 2020  1.202
22:45 25 09 2020  0.935
23:00 25 09 2020  0.677
23:15 25 09 2020  0.427
23:30 25 09 2020  0.188
23:45 25 09 2020  -0.040
00:00 26 09 2020  -0.256
00:15 26 09 2020  -0.459
00:30 26 09 2020  -0.648
00:45 26 09 2020  -0.823
01:00 26 09 2020  -0.982
01:15 26 09 2020  -1.125
01:30 26 09 2020  -1.252
01:45 26 09 2020  -1.362
02:00 26 09 2020  -1.454
02:15 26 09 2020  -1.529
02:30 26 09 2020  -1.585
02:45 26 09 2020  -1.624
03:00 26 09 2020  -1.643
03:15 26 09 2020  -1.645
03:30 26 09 2020  -1.627
03:45 26 09 2020  -1.591
04:00 26 09 2020  -1.537
04:15 26 09 2020  -1.465
04:30 26 09 2020  -1.374
04:45 26 09 2020  -1.267
05:00 26 09 2020  -1.142
05:15 26 09 2020  -1.001
05:30 26 09 2020  -0.843
05:45 26 09 2020  -0.671
06:00 26 09 2020  -0.484
06:15 26 09 2020  -0.282
06:30 26 09 2020  -0.068
06:45 26 09 2020  0.159
07:00 26 09 2020  0.397
07:15 26 09 2020  0.645
07:30 26 09 2020  0.903
07:45 26 09 2020  1.169
08:00 26 09 2020  1.442
08:15 26 09 2020  1.722
08:30 26 09 2020  2.006
08:45 26 09 2020  2.295
09:00 26 09 2020  2.587
09:15 26 09 2020  2.880
09:30 26 09 2020  3.173
09:45 26 09 2020  3.466
10:00 26 09 2020  3.757
10:15 26 09 2020  4.045
10:30 26 09 2020  4.329
10:45 26 09 2020  4.607
11:00 26 09 2020  4.879
11:15 26 09 2020  5.144
11:30 26 09 2020  5.400
11:45 26 09 2020  5.646
12:00 26 09 2020  5.881
12:15 26 09 2020  6.105
12:30 26 09 2020  6.317
12:45 26 09 2020  6.516
13:00 26 09 2020  6.700
13:15 26 09 2020  6.869
13:30 26 09 2020  7.023
13:45 26 09 2020  7.161
14:00 26 09 2020  7.282
14:15 26 09 2020  7.386
14:30 26 09 2020  7.473
14:45 26 09 2020  7.542
15:00 26 09 2020  7.592
15:15 26 09 2020  7.624
15:30 26 09 2020  7.638
15:45 26 09 2020  7.633
16:00 26 09 2020  7.609
16:15 26 09 2020  7.567
16:30 26 09 2020  7.507
16:45 26 09 2020  7.428
17:00 26 09 2020  7.332
17:15 26 09 2020  7.219
17:30 26 09 2020  7.088
17:45 26 09 2020  6.942
18:00 26 09 2020  6.779
18:15 26 09 2020  6.602
18:30 26 09 2020  6.410
18:45 26 09 2020  6.204
19:00 26 09 2020  5.986
19:15 26 09 2020  5.755
19:30 26 09 2020  5.514
19:45 26 09 2020  5.262
20:00 26 09 2020  5.001
20:15 26 09 2020  4.733
20:30 26 09 2020  4.457
20:45 26 09 2020  4.176
21:00 26 09 2020  3.889
21:15 26 09 2020  3.600
21:30 26 09 2020  3.308
21:45 26 09 2020  3.014
22:00 26 09 2020  2.721
22:15 26 09 2020  2.428
22:30 26 09 2020  2.138
22:45 26 09 2020  1.852
23:00 26 09 2020  1.569
23:15 26 09 2020  1.293
23:30 26 09 2020  1.023
23:45 26 09 2020  0.762
00:00 27 09 2020  0.509
00:15 27 09 2020  0.266
00:30 27 09 2020  0.034
00:45 27 09 2020  -0.186
01:00 27 09 2020  -0.393
01:15 27 09 2020  -0.587
01:30 27 09 2020  -0.766
01:45 27 09 2020  -0.931
02:00 27 09 2020  -1.079
02:15 27 09 2020  -1.212
02:30 27 09 2020  -1.327
02:45 27 09 2020  -1.426
03:00 27 09 2020  -1.506
03:15 27 09 2020  -1.569
03:30 27 09 2020  -1.613
03:45 27 09 2020  -1.639
04:00 27 09 2020  -1.646
04:15 27 09 2020  -1.635
04:30 27 09 2020  -1.605
04:45 27 09 2020  -1.557
05:00 27 09 2020  -1.491
05:15 27 09 2020  -1.406
05:30 27 09 2020  -1.305
05:45 27 09 2020  -1.185
06:00 27 09 2020  -1.050
06:15 27 09 2020  -0.898
06:30 27 09 2020  -0.730
06:45 27 09 2020  -0.547
07:00 27 09 2020  -0.351
07:15 27 09 2020  -0.141
07:30 27 09 2020  0.082
07:45 27 09 2020  0.316
08:00 27 09 2020  0.561
08:15 27 09 2020  0.816
08:30 27 09 2020  1.079
08:45 27 09 2020  1.350
09:00 27 09 2020  1.628
09:15 27 09 2020  1.911
09:30 27 09 2020  2.199
09:45 27 09 2020  2.489
10:00 27 09 2020  2.782
10:15 27 09 2020  3.076
10:30 27 09 2020  3.369
10:45 27 09 2020  3.661
11:00 27 09 2020  3.950
11:15 27 09 2020  4.235
11:30 27 09 2020  4.515
11:45 27 09 2020  4.789
12:00 27 09 2020  5.057
12:15 27 09 2020  5.315
12:30 27 09 2020  5.565
12:45 27 09 2020  5.804
13:00 27 09 2020  6.032
13:15 27 09 2020  6.248
13:30 27 09 2020  6.451
13:45 27 09 2020  6.640
14:00 27 09 2020  6.815
14:15 27 09 2020  6.974
14:30 27 09 2020  7.117
14:45 27 09 2020  7.244
15:00 27 09 2020  7.354
15:15 27 09 2020  7.446
15:30 27 09 2020  7.521
15:45 27 09 2020  7.577
16:00 27 09 2020  7.615
16:15 27 09 2020  7.635
16:30 27 09 2020  7.636
16:45 27 09 2020  7.619
17:00 27 09 2020  7.583
17:15 27 09 2020  7.529
17:30 27 09 2020  7.456
17:45 27 09 2020  7.366
18:00 27 09 2020  7.258
18:15 27 09 2020  7.134
18:30 27 09 2020  6.992
18:45 27 09 2020  6.835
19:00 27 09 2020  6.663
19:15 27 09 2020  6.475
19:30 27 09 2020  6.274
19:45 27 09 2020  6.060
20:00 27 09 2020  5.833
20:15 27 09 2020  5.595
20:30 27 09 2020  5.347
20:45 27 09 2020  5.089
21:00 27 09 2020  4.823
21:15 27 09 2020  4.550
21:30 27 09 2020  4.270
21:45 27 09 2020  3.985
22:00 27 09 2020  3.697
22:15 27 09 2020  3.405
22:30 27 09 2020  3.112
22:45 27 09 2020  2.818
23:00 27 09 2020  2.525
23:15 27 09 2020  2.234
23:30 27 09 2020  1.947
23:45 27 09 2020  1.663
00:00 28 09 2020  1.384
00:15 28 09 2020  1.112
00:30 28 09 2020  0.848
00:45 28 09 2020  0.592
01:00 28 09 2020  0.346
01:15 28 09 2020  0.110
01:30 28 09 2020  -0.114
01:45 28 09 2020  -0.325
02:00 28 09 2020  -0.524
02:15 28 09 2020  -0.708
02:30 28 09 2020  -0.878
02:45 28 09 2020  -1.032
03:00 28 09 2020  -1.169
03:15 28 09 2020  -1.291
03:30 28 09 2020  -1.395
